Category: All categories

Week,"Udemy, Inc.: (United States)",Udacity: (United States),Pluralsight: (United States),LinkedIn Learning: (United States)
2018-01-28,13,41,32,71
2018-02-04,13,35,36,66
2018-02-11,13,35,37,61
2018-02-18,13,33,28,66
2018-02-25,14,39,30,64
2018-03-04,13,31,31,60
2018-03-11,12,28,33,64
2018-03-18,12,34,34,55
2018-03-25,14,35,32,63
2018-04-01,14,31,41,64
2018-04-08,14,36,32,59
2018-04-15,15,34,33,55
2018-04-22,13,33,33,64
2018-04-29,12,26,29,59
2018-05-06,14,32,34,66
2018-05-13,16,34,68,65
2018-05-20,13,38,37,61
2018-05-27,12,31,35,57
2018-06-03,11,35,40,63
2018-06-10,15,27,34,62
2018-06-17,11,33,41,60
2018-06-24,14,31,35,64
2018-07-01,9,27,31,52
2018-07-08,16,30,32,60
2018-07-15,12,30,32,58
2018-07-22,13,28,34,63
2018-07-29,13,28,37,58
2018-08-05,12,31,37,63
2018-08-12,15,26,34,54
2018-08-19,15,32,36,64
2018-08-26,16,28,38,67
2018-09-02,12,26,30,63
2018-09-09,15,28,34,70
2018-09-16,13,30,35,64
2018-09-23,13,29,32,64
2018-09-30,12,28,35,62
2018-10-07,12,26,34,56
2018-10-14,9,28,28,63
2018-10-21,10,29,29,62
2018-10-28,10,27,28,65
2018-11-04,13,23,35,60
2018-11-11,14,22,31,55
2018-11-18,17,19,27,45
2018-11-25,17,26,37,57
2018-12-02,12,22,27,58
2018-12-09,13,20,30,59
2018-12-16,13,24,27,55
2018-12-23,12,17,19,42
2018-12-30,15,20,28,58
2019-01-06,20,27,33,71
2019-01-13,15,24,31,73
2019-01-20,13,26,34,63
2019-01-27,11,25,31,70
2019-02-03,16,22,35,71
2019-02-10,15,21,32,67
2019-02-17,15,20,32,64
2019-02-24,12,23,31,59
2019-03-03,11,22,31,65
2019-03-10,12,25,33,55
2019-03-17,12,21,31,58
2019-03-24,10,22,34,60
2019-03-31,13,20,30,58
2019-04-07,15,23,28,61
